tempo_ms,temperatura_C,distancia_cm
83,21.75,22.64
1118,21.75,23.80
2151,21.75,23.36
3184,21.81,23.72
4218,21.81,24.33
5252,21.81,23.36
6286,21.81,23.26
7319,21.81,23.31
8352,21.81,23.31
10027,21.81,24.56
12803,21.81,24.90
13836,21.81,24.14
14870,21.81,23.73
15903,21.81,23.99
16936,21.81,19.99
18610,21.81,18.45
19643,21.81,18.38
20677,21.81,16.61
21710,21.81,14.99
22744,21.81,13.80
23776,21.81,13.63
24809,21.81,11.73
25842,21.81,11.54
26875,21.81,9.01
27908,21.81,10.18
28941,21.81,9.66
29974,21.81,9.30
31006,21.87,10.29
32039,21.81,9.37
